File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardA_MasterCardASensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\impl\Adapter.java,44,19,12,2,6,0,19,62,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_CreditCard\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\impl\Adapter.java,43,19,12,2,7,0,17,51,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MasterCardB_MasterCardBSensor\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\impl\Adapter.java,43,19,12,2,5,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_MoneyPayment_Payment\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\impl\Adapter.java,69,44,27,7,6,0,19,58,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\impl\IInterfaceTags.java,13,5,4,0,3,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\impl\Manager.java,93,64,47,9,21,0,8,18,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_Payment_Controller\prov\IManager.java,29,11,10,0,10,7,8,55,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\impl\Adapter.java,35,21,12,2,6,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\impl\ComponentFactory.java,21,12,8,2,4,0,5,15,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\impl\IInterfaceTags.java,16,5,4,0,3,0,8,39,0,0
D:\Arquivos Jane\Dropbox\facom\TCC_MAPE_Android\EShop\app\src\main\java\conn_sensors_MasterCardASensor\impl\Manager.java,96,64,47,9,21,0,11,42,0,0
